model,accuracy,precision,recall,f1,auc_roc,cv_f1_mean,cv_f1_std,domain,high_risk_pct,n_train,n_test
Random Forest,0.982,0.9604,0.951,0.9557,0.9894,0.9403,0.0073,maternal,20.4,4000,1000
XGBoost,0.98,0.951,0.951,0.951,0.9915,0.9319,0.0028,maternal,20.4,4000,1000
Random Forest,0.9113,0.9917,0.7767,0.8711,0.9046,0.873,0.0152,child,38.7,3200,800
XGBoost,0.9038,0.964,0.7799,0.8623,0.8983,0.8632,0.0153,child,38.7,3200,800
Random Forest,0.97,0.9909,0.9393,0.9644,0.9863,0.9562,0.0031,chronic,43.2,3200,800
XGBoost,0.9637,0.976,0.9393,0.9573,0.9886,0.9539,0.0048,chronic,43.2,3200,800
